title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2055430,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1826159,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",2003,tt0167260,9,2025597,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,392906,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,284689,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,129780,"DK, FI, NO, SE, US"
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2940459,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,632117,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420354,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111809,"FR, MC"
"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26272,PT
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,895540,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1108767,"AD, ES, PT"
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121861,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,352231,"BE, FR, MC"
"East of Eden",movie,Drama,1955,tt0048028,7.8,49537,"BE, FR, MC"
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99358,"BE, FR, MC"
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,54770,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2062792,"AD, ES, PT"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1393396,"AD, ES, PT"
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,431381,"AD, ES, PT"
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,232316,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,412779,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1611009,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
Fargo,movie,"Crime, Thriller",1996,tt0116282,8.1,739062,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,289668,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2958776,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,616876,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,372567,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Rio Bravo",movie,Western,1959,tt0053221,8,69483,"BE, FR, MC"
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,442564,"DK, FI, NO, SE"
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127561,"AD, BE, ES, FR, MC, NL, PT"
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,494499,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146047,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1091545,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,451278,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346362,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
Magnolia,movie,Drama,1999,tt0175880,8,333205,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,154394,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,385483,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,334167,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,271737,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Rain Man",movie,Drama,1988,tt0095953,8,555137,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404639,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Who's Afraid of Virginia Woolf?",movie,Drama,1966,tt0061184,8,81274,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,53992,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,119186,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,270536,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,272048,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
8½,movie,Drama,1963,tt0056801,8,127115,"DK, FI, NO, SE, US"
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,435990,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36497,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, GT, HN, HR, HU, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, US, UY, VE"
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86633,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,227000,"AD, BA, BE, BG, CZ, ES, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,122555,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1100297,"AD, ES"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1442804,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PY, SV, TC, TT, UY, VE"
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111732,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,165025,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55001,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352457,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
