title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Star Trek V: The Final Frontier",movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,65214,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,82042,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"The Big Blue",movie,"Adventure, Drama, Sport",1988,tt0095250,7.5,56029,DE
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,479551,IN
"Blown Away",movie,"Action, Crime, Drama",1994,tt0109303,6.2,34429,"CL, CO, MX"
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,593203,"CA, FR, US"
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,382423,"BR, CL, CO, MX"
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,800328,DE
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,172573,"CL, CO, IN, MX, US"
"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,88170,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,805811,DE
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,490804,"AU, US"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1108767,"CA, US"
"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,133609,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80447,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,84965,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121861,DE
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68070,GB
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,352231,CA
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,217262,"BR, CL, CO, IN, MX"
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,282683,"BR, CL, CO, IN, MX"
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24473,"DE, GB"
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,496990,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
"The Terminator",movie,"Action, Adventure, Sci-Fi",1984,tt0088247,8.1,944370,"BR, CL, CO, MX, US"
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,108719,DE
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,101131,"DE, GB"
"Muriel's Wedding",movie,"Comedy, Drama",1994,tt0110598,7.2,42874,DE
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2062792,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1393396,US
"Natural Born Killers",movie,"Action, Crime, Romance",1994,tt0110632,7.2,256153,DE
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,431381,"AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE"
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,92484,DE
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,193337,AU
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23329,DE
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,241612,"CA, US"
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,453345,"AU, US"
"Stolen Kisses",movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15517,"DE, GB"
"Antoine and Colette",movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6608,DE
"Bed & Board",movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,10862,"DE, GB"
"Love on the Run",movie,"Comedy, Drama, Romance",1979,tt0078771,7,7685,"DE, GB"
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,122617,DE
Contempt,movie,"Drama, Romance",1963,tt0057345,7.4,36788,GB
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34228,DE
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,89538,"DE, GB"
Fargo,movie,"Crime, Thriller",1996,tt0116282,8.1,739062,"BR, CL, CO, MX"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1200957,US
"The Apartment",movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,201425,"CL, CO, MX"
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49110,DE
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,95977,"AR, AT, AU, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,29857,GB
"The Celebration",movie,Drama,1998,tt0154420,8,95459,DE
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,442564,US
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,385149,US
"Snow Cake",movie,"Drama, Romance",2006,tt0448124,7.4,13423,US
"The Million Dollar Hotel",movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22664,"DE, US"
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,324289,US
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146047,"CA, US"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1091545,AU
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,451278,AU
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346362,AU
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2589,CA
Magnolia,movie,Drama,1999,tt0175880,8,333205,US
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,38376,BR
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67366,DE
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,385483,US
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,374065,GB
Head-On,movie,"Drama, Romance",2004,tt0347048,7.9,58538,DE
"To Catch a Thief",movie,"Mystery, Romance, Thriller",1955,tt0048728,7.4,81716,"DE, US"
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,269174,GB
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404639,"AU, US"
"Lisbon Story",movie,"Drama, Music",1994,tt0110361,7.1,5532,DE
"A Fistful of Dollars",movie,"Action, Drama, Western",1964,tt0058461,7.9,238346,BR
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,204402,US
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,822155,"BR, CL, CO, MX"
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,224305,GB
"The Straight Story",movie,"Biography, Drama",1999,tt0166896,8,99558,DE
"La haine",movie,"Crime, Drama",1995,tt0113247,8.1,203297,GB
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,205950,"AT, CH, DE, FR, GB, IE, IT, US"
8½,movie,Drama,1963,tt0056801,8,127115,"DE, GB"
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,937182,"BR, CL, CO, DE, IN, MX"
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24660,DE
"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",1966,tt0060196,8.8,829093,"BR, CL, CO, MX"
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,487654,US
"Cube²: Hypercube",movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71208,IN
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,79648,DE
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86633,GB
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,137599,DE
"The Idiots",movie,"Comedy, Drama",1998,tt0154421,6.7,34469,DE
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1003711,"AT, CH, FR, GB, IE, IT"
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18458,DE
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41318,DE
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,81611,US
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1100297,"AU, DE, US"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,202746,"DE, GB"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1442804,AU
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28424,GB
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1109906,"BR, CL, CO, IN, MX"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,537975,"AU, US"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352457,AU
Requiem,movie,"Drama, Horror",2006,tt0454931,6.9,6505,US
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,576621,"AU, DE"
"The Blues Brothers",movie,"Action, Adventure, Comedy",1980,tt0080455,7.9,218195,AU
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,60732,"AR, AT, BO, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,734717,AU
"There's Something About Mary",movie,"Comedy, Romance",1998,tt0129387,7.1,334035,US
